INSTNM,CITY,STABBR,PREDDEG,ADDR
Schenectady County Community College,Schenectady,NY,2,"78 Washington Avenue"
Sh'or Yoshuv Rabbinical College,Lawrence,NY,3,"1 Cedarlawn Avenue"
Siena College,Loudonville,NY,3,"515 Loudon Rd"
Skidmore College,Saratoga Springs,NY,3,"815 N Broadway"
St. Joseph's University-New York,Brooklyn,NY,3,"245 Clinton Ave"
Saint Vladimirs Orthodox Theological Seminary,Yonkers,NY,4,"575 Scarsdale Rd"
Saint Elizabeth College of Nursing,Utica,NY,2,"2209 Genesee Street"
St. John Fisher University,Rochester,NY,3,"3690 East Ave"
St Paul's School of Nursing-Staten Island,Staten Island,NY,2,"2 Teleport Drive, Corporate Commons Two, Suite 203"
St. John's University-New York,Queens,NY,3,"8000 Utopia Pky"
Sullivan County Community College,Loch Sheldrake,NY,2,"112 College Road"
SUNY College of Technology at Alfred,Alfred,NY,2,"10 Upper College Drive"
SUNY College of Technology at Canton,Canton,NY,3,"34 Cornell Drive"
SUNY College of Technology at Delhi,Delhi,NY,3,"454 Delhi Drive"
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,3,"State Route 7"
Farmingdale State College,Farmingdale,NY,3,"2350 Broadhollow Road"
SUNY Morrisville,Morrisville,NY,2,"80 Eaton Street"
SUNY at Albany,Albany,NY,3,"1400 Washington Avenue"
Binghamton University,Vestal,NY,3,"4400 Vestal Parkway East"
University at Buffalo,Buffalo,NY,3,"12 Capen Hall"
Stony Brook University,Stony Brook,NY,3,"310 Administration Building"
SUNY College of Environmental Science and Forestry,Syracuse,NY,3,"One Forestry Dr."
SUNY Polytechnic Institute,Utica,NY,3,"100 Seymour Rd"
SUNY Brockport,Brockport,NY,3,"350 New Campus Dr"
SUNY Buffalo State University,Buffalo,NY,3,"1300 Elmwood Ave"
SUNY Cortland,Cortland,NY,3,"Miller Building"
SUNY at Fredonia,Fredonia,NY,3,"280 Central Ave"
SUNY College at Geneseo,Geneseo,NY,3,"1 College Circle"
State University of New York at New Paltz,New Paltz,NY,3,"1 Hawk Drive"
SUNY Oneonta,Oneonta,NY,3,"108 Ravine Parkway"
State University of New York at Oswego,Oswego,NY,3,"7060 State Route 104"
SUNY College at Potsdam,Potsdam,NY,3,"44 Pierrepont Ave"
SUNY at Purchase College,Purchase,NY,3,"735 Anderson Hill Rd"
SUNY College of Optometry,New York,NY,4,"33 West 42nd Street"
SUNY College at Old Westbury,Old Westbury,NY,3,"223 Store Hill Rd"
SUNY College at Plattsburgh,Plattsburgh,NY,3,"101 Broad Street"
SUNY Downstate Health Sciences University,Brooklyn,NY,3,"450 Clarkson Ave"
Empire State University,Saratoga Springs,NY,3,"Two Union Ave"
SUNY Maritime College,Throggs Neck,NY,3,"6 Pennyfield Avenue"
Upstate Medical University,Syracuse,NY,3,"750 E Adams St"
Swedish Institute a College of Health Sciences,New York,NY,2,"226 West 26th Street"
Syracuse University,Syracuse,NY,3,"900 South Crouse Ave."
Talmudical Seminary Oholei Torah,Brooklyn,NY,3,"667 Eastern Pky"
Talmudical Institute of Upstate New York,Rochester,NY,3,"769 Park Ave"
Teachers College at Columbia University,New York,NY,4,"525 W 120th St"
Tompkins Cortland Community College,Dryden,NY,2,"170 North St"
Torah Temimah Talmudical Seminary,Staten Island,NY,3,"3323 Richmond Ave"
Touro University,New York,NY,3,"50 West 47th Street"
Trocaire College,Buffalo,NY,2,"360 Choate Ave"
Excelsior University,Albany,NY,3,"7 Columbia Cir"
Ulster County Community College,Stone Ridge,NY,2,"491 Cottekill Rd"
Union College,Schenectady,NY,3,"807 Union Street"
Union Theological Seminary in the City of New York,New York,NY,4,"3041 Broadway"
United Talmudical Seminary,Brooklyn,NY,3,"191 Rodney St."
United States Merchant Marine Academy,Kings Point,NY,3,"300 Steamboat Road"
United States Military Academy,West  Point,NY,3,"606 Thayer Rd"
Utica University,Utica,NY,3,"1600 Burrstone Rd"
Vassar College,Poughkeepsie,NY,3,"124 Raymond Ave"
Villa Maria College,Buffalo,NY,2,"240 Pine Ridge Rd"
School of Visual Arts,New York,NY,3,"209 E 23rd St"
Wagner College,Staten Island,NY,3,"One Campus Rd"
Webb Institute,Glen Cove,NY,3,"298 Crescent Beach Rd"
Wells College,Aurora,NY,3,"170 Main Street"
The College of Westchester,White Plains,NY,2,"325 Central Ave"
SUNY Westchester Community College,Valhalla,NY,2,"75 Grasslands Road"
Westchester School of Beauty Culture,Mount Vernon,NY,1,"Six Gramatan Avenue    Suite 200"
Word of Life Bible Institute,Pottersville,NY,1,"4230 Glendale Road"
Yeshiva Karlin Stolin,Brooklyn,NY,3,"1818 54th St"
Yeshiva Derech Chaim,Brooklyn,NY,3,"1573 39th Street"
Yeshiva of Nitra Rabbinical College,Chester,NY,3,"1425 Route 17 M"
Yeshivath Shaar Hatorah,Kew Gardens,NY,3,"117-06 84 Ave"
Yeshiva University,New York,NY,3,"500 W 185th St"
Yeshivath Viznitz,Monsey,NY,3,"15 Elyon Road"
Yeshivath Zichron Moshe,South Fallsburg,NY,2,"Laurel Park Road"
College of the Albemarle,Elizabeth City,NC,2,"1208 N Road St"
South Piedmont Community College,Polkton,NC,1,"680 Highway 74 West"
Appalachian State University,Boone,NC,3,"287 Rivers St"
Asheville-Buncombe Technical Community College,Asheville,NC,2,"340 Victoria Rd"
Barton College,Wilson,NC,3,"200 E. ACC Drive"
Beaufort County Community College,Washington,NC,2,"5337 US Highway 264 East"
Belmont Abbey College,Belmont,NC,3,"100 Belmont-Mt Holly Road"
Bennett College,Greensboro,NC,3,"900 E Washington St"
Bladen Community College,Dublin,NC,1,"7418 NC Hwy 41 West"
Blue Ridge Community College,Flat Rock,NC,2,"180 West Campus Drive"
Brevard College,Brevard,NC,3,"One Brevard College Drive"
Brunswick Community College,Bolivia,NC,2,"50 College Rd"
Cabarrus College of Health Sciences,Concord,NC,2,"401 Medical Park Drive"
Caldwell Community College and Technical Institute,Hudson,NC,2,"2855 Hickory Boulevard"
Campbell University,Buies Creek,NC,3,"143 Main Street"
Cape Fear Community College,Wilmington,NC,2,"411 North Front Street"
Carteret Community College,Morehead City,NC,1,"3505 Arendell St"
Catawba College,Salisbury,NC,3,"2300 W Innes St"
Catawba Valley Community College,Hickory,NC,1,"2550 Hwy 70 SE"
Central Carolina Community College,Sanford,NC,2,"1105 Kelly Dr"
Central Piedmont Community College,Charlotte,NC,2,"1201 Elizabeth Avenue"
Chowan University,Murfreesboro,NC,3,"One University Place"
Cleveland Community College,Shelby,NC,1,"137 S Post Rd"
Coastal Carolina Community College,Jacksonville,NC,1,"444 Western Blvd"
Craven Community College,New Bern,NC,2,"800 College Ct"
Davidson-Davie Community College,Thomasville,NC,1,"297 DCCC Road"
Davidson College,Davidson,NC,3,"405 N. Main Street"
Duke University,Durham,NC,3,"103 Allen Bldg"
Durham Technical Community College,Durham,NC,1,"1637 Lawson Street"
East Carolina University,Greenville,NC,3,"East 5th Street"
Edgecombe Community College,Tarboro,NC,2,"2009 W Wilson St"
Elizabeth City State University,Elizabeth City,NC,3,"1704 Weeksville Rd"
Elon University,Elon,NC,3,"100 Campus Drive"
Fayetteville Technical Community College,Fayetteville,NC,2,"2201 Hull Rd"
Fayetteville State University,Fayetteville,NC,3,"1200 Murchison Rd"
Forsyth Technical Community College,Winston-Salem,NC,1,"2100 Silas Creek Pky"
Gardner-Webb University,Boiling Springs,NC,3,"Main St"
Gaston College,Dallas,NC,1,"201 Hwy 321 S"
Greensboro College,Greensboro,NC,3,"815 W Market St"
Guilford College,Greensboro,NC,3,"5800 W Friendly Avenue"
Guilford Technical Community College,Jamestown,NC,2,"601 E. Main Street"
Halifax Community College,Weldon,NC,2,"100 College Drive"
Haywood Community College,Clyde,NC,1,"185 Freedlander Drive"
Heritage Bible College,Dunn,NC,3,"494 Antioch Church Road"
High Point University,High Point,NC,3,"One University Parkway"
Isothermal Community College,Spindale,NC,1,"286 ICC Loop Road"
James Sprunt Community College,Kenansville,NC,2,"133 James Sprunt Drive"
Johnson C Smith University,Charlotte,NC,3,"100 Beatties Ford Road"
Johnston Community College,Smithfield,NC,2,"245 College Road"
Lees-McRae College,Banner Elk,NC,3,"191 Main Street"
Lenoir Community College,Kinston,NC,1,"231 Highway 58 South"
Lenoir-Rhyne University,Hickory,NC,3,"625 7th Avenue NE"
Leons Beauty School Inc,Greensboro,NC,1,"1305 Coliseum BLVD"
Livingstone College,Salisbury,NC,3,"701 W Monroe St"
Louisburg College,Louisburg,NC,2,"501 N. Main St."
Mars Hill University,Mars Hill,NC,3,"100 Athletic St"
Martin Community College,Williamston,NC,1,"1161 Kehukee Pk Rd"
Mayland Community College,Spruce Pine,NC,1,"200 Mayland Drive"
McDowell Technical Community College,Marion,NC,2,"54 College Drive"
Meredith College,Raleigh,NC,3,"3800 Hillsborough St"
Methodist University,Fayetteville,NC,3,"5400 Ramsey St"
Miller-Motte College-Wilmington,Wilmington,NC,1,"5000 Market Street"
Mitchell Community College,Statesville,NC,1,"500 W Broad Street"
Mitchells Academy,Wilson,NC,1,"2616 Forest Hills Road"
Montgomery Community College,Troy,NC,2,"1011 Page St"
Montreat College,Montreat,NC,3,"310 Gaither Circle"
University of Mount Olive,Mount Olive,NC,3,"634 Henderson St"
College of Wilmington,Wilmington,NC,1,"3500 Oleander Drive Suite 1111"
Nash Community College,Rocky Mount,NC,1,"522 N. Old Carriage Road"
North Carolina A & T State University,Greensboro,NC,3,"1601 E Market  St"
University of North Carolina at Asheville,Asheville,NC,3,"One University Heights"
University of North Carolina at Chapel Hill,Chapel Hill,NC,3,"103 South Bldg Cb 9100"
University of North Carolina at Charlotte,Charlotte,NC,3,"9201 University City Blvd"
University of North Carolina at Greensboro,Greensboro,NC,3,"1400 Spring Garden St"
North Carolina Central University,Durham,NC,3,"1801 Fayetteville Street"
University of North Carolina School of the Arts,Winston Salem,NC,3,"1533 South Main St."
North Carolina State University at Raleigh,Raleigh,NC,3,"2101 Hillsborough Street"
North Carolina Wesleyan University,Rocky Mount,NC,3,"3400 N Wesleyan Blvd"
University of North Carolina Wilmington,Wilmington,NC,3,"601 South College Road"
Pamlico Community College,Grantsboro,NC,1,"5049 Hwy 306 South"
William Peace University,Raleigh,NC,3,"15 E Peace St"
University of North Carolina at Pembroke,Pembroke,NC,3,"One University Drive"
Pfeiffer University,Misenheimer,NC,3,"48380 US Hwy 52N"
Piedmont Community College,Roxboro,NC,2,"1715 College Dr"
Pitt Community College,Winterville,NC,2,"1986 Pitt Tech Road"
Queens University of Charlotte,Charlotte,NC,3,"1900 Selwyn Ave"
Randolph Community College,Asheboro,NC,1,"629 Industrial Park Ave"
Richmond Community College,Hamlet,NC,1,"1042 W Hamlet Ave"
Mid-Atlantic Christian University,Elizabeth City,NC,3,"715 N Poindexter St"
Roanoke-Chowan Community College,Ahoskie,NC,2,"109 Community College Rd"
Robeson Community College,Lumberton,NC,2,"5160 Fayetteville Road"
Rockingham Community College,Wentworth,NC,2,"215 Wrenn Memorial Road"
Rowan-Cabarrus Community College,Salisbury,NC,1,"1333 Jake Alexander Blvd, South"
Saint Augustine's University,Raleigh,NC,3,"1315 Oakwood Avenue"
Salem College,Winston-Salem,NC,3,"601 S Church St"
Sampson Community College,Clinton,NC,2,"Highway 24 West"
Sandhills Community College,Pinehurst,NC,2,"3395 Airport Rd"
Shaw University,Raleigh,NC,3,"118 East South Street"
Paul Mitchell the School-Fayetteville,Fayetteville,NC,1,"505A Cross Creek Mall"
St. Andrews University,Laurinburg,NC,3,"1700 Dogwood Mile"
Southeastern Community College,Whiteville,NC,2,"4564 Chadbourn Hwy"
Southwestern Community College,Sylva,NC,1,"447 College Drive"
Stanly Community College,Albemarle,NC,1,"141 College Drive"
Southeastern Baptist Theological Seminary,Wake Forest,NC,3,"120 S. Wingate Street"
Surry Community College,Dobson,NC,2,"630 S. Main St."
Alamance Community College,Graham,NC,1,"1247 Jimmie Kerr Road"
Tri-County Community College,Murphy,NC,2,"21 Campus Circle"
Vance-Granville Community College,Henderson,NC,2,"200 Community College Road"
Wake Forest University,Winston-Salem,NC,3,"1834 Wake Forest Road"
Wake Technical Community College,Raleigh,NC,1,"9101 Fayetteville Road"
Warren Wilson College,Swannanoa,NC,3,"701 Warren Wilson Rd"
Watts School of Nursing,Durham,NC,1,"2828 Croadsaile Drive Suite 200"
Wayne Community College,Goldsboro,NC,1,"3000 Wayne Memorial Dr"
Western Piedmont Community College,Morganton,NC,2,"1001 Burkemont Ave"
Wilkes Community College,Wilkesboro,NC,1,"1328 South Collegiate Dr"
Wilson Community College,Wilson,NC,1,"902 Herring Ave"
Wingate University,Wingate,NC,3,"301 E. Wilson Street"
Carolina Christian College,Winston Salem,NC,3,"4209 Indiana Avenue"
Winston Salem Barber School,Winston-Salem,NC,1,"1531 Silas Creek Pky"
Winston-Salem State University,Winston-Salem,NC,3,"601 S. Martin Luther King Jr Dr"
Western Carolina University,Cullowhee,NC,3,"Highway 107"
Rasmussen University-North Dakota,Fargo,ND,2,"4012 19th Avenue SW"
Bismarck State College,Bismarck,ND,2,"1500 Edwards Ave."
Dickinson State University,Dickinson,ND,3,"291 Campus Drive"
Nueta Hidatsa Sahnish College,New Town,ND,2,"301 College Drive"
Josef's School of Hair Skin & Body-Grand Forks,Grand Forks,ND,1,"2011 South Washington ST"
University of Jamestown,Jamestown,ND,3,"608 6th St NE"
Lake Region State College,Devils Lake,ND,2,"1801 College Dr N"
Cankdeska Cikana Community College,Fort Totten,ND,2,"214 1st Ave"
University of Mary,Bismarck,ND,3,"7500 University Dr"
Mayville State University,Mayville,ND,3,"330 Third Street NE"
Minot State University,Minot,ND,3,"500 University Ave W"
University of North Dakota,Grand Forks,ND,3,"264 Centennial Drive, Stop 8193"
North Dakota State College of Science,Wahpeton,ND,2,"800 N 6th St"
Dakota College at Bottineau,Bottineau,ND,2,"105 Simrall Blvd"
North Dakota State University-Main Campus,Fargo,ND,3,"1301  12th Avenue North"
Williston State College,Williston,ND,2,"1410 University Avenue"
Sitting Bull College,Fort Yates,ND,2,"9299 Hwy 24"
Trinity Bible College and Graduate School,Ellendale,ND,3,"50 6th Ave S"
Turtle Mountain Community College,Belcourt,ND,1,"10145 BIA #7"
United Tribes Technical College,Bismarck,ND,2,"3315 University Drive"
Valley City State University,Valley City,ND,3,"101 College St SW"
ETI Technical College,Niles,OH,1,"2076 Youngstown Warren Rd"
Air Force Institute of Technology-Graduate School of Engineering & Management,Wright-Patterson AFB,OH,4,"2950 Hobson Way"
Herzing University-Akron,Akron,OH,2,"1600 South Arlington Street, Suite 100"
University of Akron Main Campus,Akron,OH,3,"302 Buchtel Common"
University of Akron Wayne College,Orrville,OH,2,"1901 Smucker Rd"
Allegheny Wesleyan College,Salem,OH,3,"2161 Woodsdale Rd"
Apollo Career Center,Lima,OH,1,"3325 Shawnee Rd"
Art Academy of Cincinnati,Cincinnati,OH,3,"1212 Jackson Street"
Ashland County-West Holmes Career Center,Ashland,OH,1,"1783 State Route 60"
Ashland University,Ashland,OH,3,"401 College Avenue"
Ashtabula County Technical and Career Campus,Jefferson,OH,1,"1565 State Route 167"
Athenaeum of Ohio,Cincinnati,OH,1,"6616 Beechmont Ave"
Auburn Career Center,Concord Twp,OH,1,"8140 Auburn Rd"
Aultman College of Nursing and Health Sciences,Canton,OH,3,"2600 6th St SW"
Baldwin Wallace University,Berea,OH,3,"275 Eastland Rd"
Belmont College,St Clairsville,OH,1,"68094 Hammond Road"
Bluffton University,Bluffton,OH,3,"1 University Drive"
Bowling Green State University-Firelands,Huron,OH,2,"One University Drive"
Bowling Green State University-Main Campus,Bowling Green,OH,3,"220 McFall Ctr"
Bryant & Stratton College-Parma,Parma,OH,2,"12955 Snow Rd"
Buckeye Hills Career Center,Rio Grande,OH,1,"351 Buckeye Hills Road"
Butler Technology and Career Development Schools,Monroe,OH,1,"101 Jerry Couch Boulevard"
Canton City Schools Adult Career and Technical Education,Canton,OH,1,"521 Tuscarawas West"
Capital University,Columbus,OH,3,"1 College and Main"
Case Western Reserve University,Cleveland,OH,3,"10900 Euclid Ave"
Cedarville University,Cedarville,OH,3,"251 N. Main Street"
Central Ohio Technical College,Newark,OH,2,"1179 University Drive"
Central School of Practical Nursing,Independence,OH,1,"4700 Rockside Road, Summit I, Suite 250"
Central State University,Wilberforce,OH,3,"1400 Brush Row Rd"
Chatfield College,Saint Martin,OH,2,"20918 State Route 251"
Choffin Career  and Technical Center,Youngstown,OH,1,"200 E Wood St."
The Christ College of Nursing and Health Sciences,Cincinnati,OH,3,"2139 Auburn Avenue"
Cincinnati College of Mortuary Science,Cincinnati,OH,3,"645 W North Bend Rd"
University of Cincinnati-Main Campus,Cincinnati,OH,3,"2624 Clifton Avenue"
Cincinnati State Technical and Community College,Cincinnati,OH,2,"3520 Central Parkway"
University of Cincinnati-Clermont College,Batavia,OH,2,"4200 Clermont College Dr"
University of Cincinnati-Blue Ash College,Blue Ash,OH,2,"9555 Plainfield Rd"
Ohio Christian University,Circleville,OH,3,"1476 Lancaster Pike"
Clark State College,Springfield,OH,1,"570 E Leffel Ln"
Cleveland Institute of Art,Cleveland,OH,3,"11610 Euclid Avenue"
Cleveland Institute of Music,Cleveland,OH,3,"11021 East Blvd"
Cleveland State University,Cleveland,OH,3,"2121 Euclid Avenue"
Columbiana County Career and Technical Center,Lisbon,OH,1,"9364 St Rt 45"
Columbus College of Art and Design,Columbus,OH,3,"60 Cleveland Ave."
Columbus State Community College,Columbus,OH,1,"550 E Spring St"
Cuyahoga Community College District,Cleveland,OH,2,"700 Carnegie Ave"
Davis College,Toledo,OH,2,"433 N. Summit Street Ste. 202"
Dayton Barber College,Miamisburg,OH,1,"2741 C Lyons Road"
University of Dayton,Dayton,OH,3,"300 College Park"
Defiance College,Defiance,OH,3,"701 N Clinton St."
Denison University,Granville,OH,3,"100 West College Street"
Edison State Community College,Piqua,OH,1,"1973 Edison Dr"
EHOVE Career Center,Milan,OH,1,"316 W Mason Rd"
The University of Findlay,Findlay,OH,3,"1000 North Main Street"
Franklin University,Columbus,OH,3,"201 S Grant Ave"
Gerbers Akron Beauty School,Akron,OH,1,"1915 West Market ST.   Suite 800"
Gods Bible School and College,Cincinnati,OH,3,"1810 Young Street"
Good Samaritan College of Nursing and Health Science,Cincinnati,OH,2,"375 Dixmyth Ave"
Great Oaks Career Campuses,Cincinnati,OH,1,"303 Scarlet Oaks Dr."
Hannah E Mullins School of Practical Nursing,Salem,OH,1,"230 North Lincoln Avenue, Suite 3"
Adult and Community Education-Hudson,Columbus,OH,1,"2323 Lexington Avenue"
Hebrew Union College-Jewish Institute of Religion,New York,NY,4,"One W 4th St"
Heidelberg University,Tiffin,OH,3,"310 E Market St"
Hiram College,Hiram,OH,3,"Hinsdale Hall Third Floor"
Hobart Institute of Welding Technology,Troy,OH,1,"400 Trade Square East"
Hocking College,Nelsonville,OH,2,"3301 Hocking Parkway"
Ross Medical Education Center-Cincinnati,Cincinnati,OH,1,"11590 Century Blvd., Ste. 210"
International College of Broadcasting,Dayton,OH,2,"6 S Smithville Rd"
Eastern Gateway Community College,Steubenville,OH,2,"110 John Scott Highway"
John Carroll University,University Heights,OH,3,"1 John Carroll Boulevard"
Hondros College of Nursing,Westerville,OH,1,"4140 Executive Parkway"
